NodeIndex,GeneSymbol,AAA,PAD,AMI,Stroke,HeartFailure
442,CBX4,0,0,0,0,0
443,RALA,0,0,0,0,0
444,DIMT1,0,0,0,0,0
445,AGRN,0,0,0,0,0
446,CLEC4M,0,0,0,0,0
447,PFN1,0,0,0,0,0
448,EPN1,0,0,0,0,0
449,CPD,0,0,0,0,0
450,NVL,0,0,0,0,0
451,FYTTD1,0,0,0,0,0
452,PIGB,0,0,0,0,0
453,CRYBA1,0,0,0,0,0
454,APOA4,0,0,0,0,0
455,HLA-F,0,0,0,0,0
456,TOP1,0,0,0,0,0
457,FLT1,0,0,0,0,0
458,NFKBIZ,0,0,0,0,0
459,RPS4X,0,0,0,0,0
460,RPL10A,1,0,0,0,0
461,CTTNBP2NL,0,0,0,0,0
462,POMGNT1,0,0,0,0,0
463,SNRPN,0,0,0,1,0
464,RAB3GAP2,0,0,0,0,1
465,MAP3K7,0,0,0,0,0
466,ZRSR2,0,0,0,0,0
467,ACER2,0,0,0,0,0
468,TMED7,0,0,0,0,0
469,E7ENQ6_HUMAN,0,0,0,0,0
470,CCNB3,0,0,0,0,0
471,C1orf109,0,0,0,0,0
472,PPP1R7,0,0,0,0,0
473,RSPH4A,0,0,0,0,0
474,FCRLA,0,0,0,0,0
475,NCL,0,0,0,0,0
476,MRPL13,0,0,0,0,0
477,SIGLEC1,0,0,0,0,0
478,NIP7,0,0,0,0,0
479,POLM,0,0,0,0,0
480,ATP5F1B,1,0,0,0,0
481,SLC44A2,0,0,0,1,0
482,CCDC13,0,0,0,0,0
483,ARIH1,0,0,0,0,0
484,PEX10,0,0,0,0,0
485,GCC1,0,0,0,0,0
486,UGT1A6,0,0,0,0,0
487,PLCZ1,0,0,0,0,0
488,TRAPPC6B,0,0,0,0,0
489,SEC22B,0,0,0,0,0
490,AHSP,0,0,0,0,0
491,ABT1,0,0,0,0,0
492,IGBP1,0,0,0,0,0
493,SLC26A4,0,0,0,0,0
494,DDR2,0,0,0,0,0
495,MYH7,0,0,0,0,1
496,CC2D1A,0,0,0,0,0
497,DUSP7,0,0,0,0,0
498,NUP58,0,0,0,0,0
499,MMAB,0,0,0,0,0
500,TNFSF13B,0,0,0,0,0
501,SRC,0,0,0,0,0
502,SRSF10,0,0,0,0,0
503,CACNA1H,0,0,0,0,0
504,MRPL35,0,0,0,0,0
505,FOXP1,0,0,0,0,0
506,SDHAF1,0,0,0,0,0
507,CCT5,0,0,0,0,0
508,C9orf78,0,0,0,0,0
509,RALGAPA2,0,0,0,0,0
510,CRYBA4,0,0,0,0,0
511,GNAT3,0,0,0,0,0
512,MRPL23,0,0,0,0,0
513,AP3B2,0,0,0,0,0
514,ABI3,0,0,0,0,0
515,AP2B1,0,0,0,0,0
516,MRPL32,0,0,0,0,0
517,MMP10,0,0,0,0,0
518,H3C8,0,0,0,0,0
519,RRAGC,0,0,0,0,0
520,PTGER4,0,0,0,0,0
521,TBCE,0,0,0,0,0
522,SLC30A3,0,0,0,0,0
523,NDUFS6,0,0,0,1,0
524,H2AC11,0,0,0,0,0
525,ZC3H15,0,0,0,0,0
526,FITM2,0,0,0,0,0
527,AIF1,0,0,0,0,0
528,ODC1,0,0,0,0,0
529,GRB2,0,0,0,0,0
530,TBX2,0,0,0,0,0
531,CYB5R2,0,0,0,0,0
532,SETD1B,0,0,0,0,0
533,HELLS,0,0,0,0,0
534,EBI3,0,0,0,0,0
535,B3GAT1,0,0,0,0,0
536,NOC4L,0,0,0,0,0
537,BUB1,0,0,0,0,0
538,CCL21,0,0,0,0,0
539,CCL1,0,0,0,0,0
540,LOXHD1,0,0,0,0,0
541,SIX6,0,0,0,0,0
542,POLA2,0,0,0,0,0
543,CASR,0,0,0,0,1
544,RGSL1,0,0,0,0,0
545,TUBB1,0,0,0,0,0
546,DPYS,0,0,0,0,0
547,POLR2K,0,0,0,0,0
548,MLNR,0,0,0,0,0
549,CD1C,0,0,0,0,0
550,THAP3,0,0,0,0,0
551,RNASEH2B,0,0,0,0,0
552,DCTN6,0,0,0,0,0
553,UTP3,0,0,0,0,0
554,FAM98A,0,0,0,0,0
555,NUP43,0,0,0,0,0
556,PENK,0,0,0,0,0
557,XXYLT1,0,0,0,0,0
558,LYZ,1,0,0,0,0
559,PRSS16,0,0,0,0,1
560,LAMA5,0,0,0,0,0
561,SRY,0,0,0,0,0
562,GNB4,0,0,0,0,0
563,HSD17B3,0,0,0,0,0
564,PSMA5,0,0,0,0,0
565,FLNC,0,0,0,1,1
566,MTMR8,0,0,0,0,0
567,CWF19L2,0,0,0,0,0
568,PMCH,0,0,0,0,0
569,BGN,0,0,0,0,0
570,SRP19,0,0,0,0,0
571,EFNA1,0,0,0,0,0
572,PKLR,0,0,0,0,0
573,NUFIP2,0,0,0,0,0
574,SLC35A2,0,0,0,0,0
575,HOXD4,0,0,0,0,0
576,NFKBIE,0,0,0,0,0
577,TEX48,0,0,0,0,0
578,COX6C,0,0,0,0,0
579,SDC1,0,0,0,0,0
580,C2,0,0,0,0,0
581,RPH3A,0,0,0,0,0
582,TNPO2,0,0,0,0,0
583,HBE1,0,0,0,0,0
584,CXCR6,0,0,0,0,0
585,RASD1,0,0,0,0,0
586,MIOX,0,0,0,0,0
587,ASDURF,0,0,0,0,0
588,GDF5,0,0,0,0,0
589,DMRT1,0,0,0,0,0
590,APOH,1,0,0,0,0
591,KYAT3,0,0,0,0,0
592,CAGE1,0,0,0,0,0
593,PCK2,0,0,0,0,0
594,POLDIP3,0,0,0,0,0
595,UGT1A5,0,0,0,0,0
596,CCN2,0,0,0,0,0
597,HNRNPA2B1,0,0,0,0,1
598,OCA2,0,0,0,0,0
599,GALNT5,0,0,0,0,0
600,FKBP4,0,0,0,0,0
601,RSL24D1,0,0,0,0,0
602,ATP5MGL,0,0,0,0,0
603,CACNA1A,0,0,0,0,0
604,SYF2,0,0,0,0,0
605,GCH1,0,0,0,0,0
606,SRSF3,0,0,0,0,0
607,EIF2AK2,0,0,0,0,0
608,GZMK,0,0,0,0,0
609,CHUK,0,0,0,0,0
610,REXO1,0,0,0,0,0
611,ZPBP,0,0,0,0,0
612,ADAT3,0,0,0,0,0
613,GPNMB,0,0,0,0,0
614,GALNT3,0,0,0,0,0
615,NUP153,0,0,0,0,0
616,SNX17,0,0,0,0,0
617,CD3G,0,0,0,0,0
618,BAAT,0,0,0,0,0
619,TARBP1,0,0,0,0,0
620,AQP2,0,0,0,0,0
621,ROPN1,0,0,0,0,0
622,HTR1D,0,0,0,0,0
623,WIPI2,0,0,0,0,0
624,CYBB,0,0,0,0,0
625,P3H4,0,0,0,0,0
626,SEMG1,0,0,0,0,0
627,MRPL40,0,0,0,0,0
628,SLC34A3,0,0,0,0,0
629,UBE2R2,0,0,0,0,0
630,VIP,0,0,0,0,0
631,INTS4,0,0,0,0,0
632,CNGA3,0,0,0,0,0
633,MED27,0,0,0,0,0
634,ELOA,0,0,0,0,0
635,OAT,0,0,0,0,0
636,RIPPLY1,0,0,0,0,0
637,GPC3,0,0,0,0,0
638,KCNQ1,0,0,0,1,0
639,ATAD5,0,0,0,0,0
