Index1,Index2,Protein1,Protein2,score,InteractionType
5360,6443,DVL2,WNT5A,978,Protein_Protein
5360,5698,DVL2,VHL,757,Protein_Protein
5360,4564,DVL2,CSNK2A1,943,Protein_Protein
5360,2705,DVL2,PARD6A,958,Protein_Protein
5360,53,DVL2,SENP2,906,Protein_Protein
5360,1961,DVL2,CSNK1E,967,Protein_Protein
5360,6533,DVL2,PLK1,914,Protein_Protein
5360,6672,DVL2,ARRB1,929,Protein_Protein
5360,8197,DVL2,PRICKLE2,971,Protein_Protein
5360,4118,DVL2,NOTCH4,914,Protein_Protein
5360,4151,DVL2,FZD6,933,Protein_Protein
5360,1174,DVL2,PRICKLE4,969,Protein_Protein
5360,3120,DVL2,DAAM1,978,Protein_Protein
5360,4243,DVL2,VANGL2,994,Protein_Protein
5360,4970,DVL2,INVS,942,Protein_Protein
5360,2887,DVL2,WNT11,880,Protein_Protein
5360,3256,DVL2,DAAM2,936,Protein_Protein
5360,5981,DVL2,FZD9,927,Protein_Protein
5360,3117,DVL2,APC2,908,Protein_Protein
5360,7263,DVL2,LRP5,880,Protein_Protein
5360,3829,DVL2,RNF43,796,Protein_Protein
8508,5778,RPAP3,TTI2,762,Protein_Protein
8508,8196,RPAP3,PDRG1,987,Protein_Protein
8508,3948,RPAP3,RUVBL1,999,Protein_Protein
8508,1413,RPAP3,PIH1D1,999,Protein_Protein
8508,889,RPAP3,POLR3A,882,Protein_Protein
8508,1168,RPAP3,PTGES3,876,Protein_Protein
8508,2582,RPAP3,MED17,774,Protein_Protein
8508,2072,RPAP3,GPN1,935,Protein_Protein
8508,7181,RPAP3,RPAP2,963,Protein_Protein
8508,1406,RPAP3,ASB7,778,Protein_Protein
8508,1860,RPAP3,PPP1CC,868,Protein_Protein
8508,941,RPAP3,POLR3B,823,Protein_Protein
8508,1047,RPAP3,EFTUD2,762,Protein_Protein
8508,6373,RPAP3,URI1,977,Protein_Protein
8508,7441,RPAP3,HSPA8,778,Protein_Protein
8508,6567,RPAP3,INTS3,811,Protein_Protein
8508,7021,RPAP3,POLR1A,823,Protein_Protein
8508,8824,RPAP3,POLR2J,936,Protein_Protein
8508,6974,RPAP3,HSP90AA1,990,Protein_Protein
8508,5795,RPAP3,TTI1,766,Protein_Protein
8508,8108,RPAP3,CDC37,772,Protein_Protein
8508,4304,RPAP3,RUVBL2,999,Protein_Protein
8508,4921,RPAP3,TARBP2,904,Protein_Protein
8508,2543,RPAP3,HSP90AB1,992,Protein_Protein
8508,5034,RPAP3,PPP1CA,850,Protein_Protein
8508,7260,RPAP3,PIH1D2,902,Protein_Protein
8508,3838,RPAP3,WDR92,995,Protein_Protein
8508,1246,RPAP3,DNAAF2,782,Protein_Protein
8508,5075,RPAP3,UXT,989,Protein_Protein
8508,3966,RPAP3,PFDN2,986,Protein_Protein
8508,1625,RPAP3,PFDN6,996,Protein_Protein
8508,7424,RPAP3,RPAP1,931,Protein_Protein
8508,1050,RPAP3,POLR2E,988,Protein_Protein
8508,5803,RPAP3,POLR2B,817,Protein_Protein
8508,7604,RPAP3,POLR1C,831,Protein_Protein
3331,2824,SKAP2,SIRPA,768,Protein_Protein
3331,6108,SKAP2,LCP2,851,Protein_Protein
3331,5464,SKAP2,FYB1,981,Protein_Protein
3331,7469,SKAP2,LCK,767,Protein_Protein
3331,2428,SKAP2,ITGA5,900,Protein_Protein
3331,8076,SKAP2,ITGA4,901,Protein_Protein
3331,5330,SKAP2,ITGB1,914,Protein_Protein
3331,8468,SKAP2,FYN,896,Protein_Protein
3331,6613,SKAP2,PRAM1,829,Protein_Protein
3331,907,SKAP2,LYN,781,Protein_Protein
7720,4894,HOXA11,PAX2,763,Protein_Protein
7720,4665,HOXA11,HOXA10,866,Protein_Protein
7720,93,HOXA11,HOXA13,757,Protein_Protein
7720,2386,HOXA11,FOXO1,853,Protein_Protein
3541,5761,CX3CL1,ADAM17,769,Protein_Protein
3541,4633,CX3CL1,CCL25,768,Protein_Protein
3541,8230,CX3CL1,CCL11,992,Protein_Protein
3541,8623,CX3CL1,CXCL12,893,Protein_Protein
3541,1161,CX3CL1,CXCL8,845,Protein_Protein
3541,2229,CX3CL1,IL10,815,Protein_Protein
3541,8021,CX3CL1,CCR5,977,Protein_Protein
3541,5880,CX3CL1,CCL19,801,Protein_Protein
3541,5653,CX3CL1,CCR7,915,Protein_Protein
3541,785,CX3CL1,CSF2,953,Protein_Protein
3541,838,CX3CL1,IFNG,923,Protein_Protein
3541,538,CX3CL1,CCL21,931,Protein_Protein
3541,7401,CX3CL1,CXCL1,939,Protein_Protein
3541,181,CX3CL1,CCL5,971,Protein_Protein
3541,6749,CX3CL1,CSF3,942,Protein_Protein
3541,3537,CX3CL1,CXCL13,860,Protein_Protein
3541,237,CX3CL1,FGF13,968,Protein_Protein
3541,4096,CX3CL1,GNA11,807,Protein_Protein
3541,7766,CX3CL1,CCL17,856,Protein_Protein
3541,7514,CX3CL1,GNAI1,800,Protein_Protein
3541,804,CX3CL1,CXCL3,795,Protein_Protein
3541,5831,CX3CL1,FGF2,971,Protein_Protein
3541,4534,CX3CL1,CCL20,920,Protein_Protein
3541,3058,CX3CL1,GNB1,800,Protein_Protein
3541,3766,CX3CL1,ADAM10,823,Protein_Protein
3541,8619,CX3CL1,FLT3LG,889,Protein_Protein
3541,419,CX3CL1,CCL27,756,Protein_Protein
3541,7097,CX3CL1,CXCR4,995,Protein_Protein
3541,4929,CX3CL1,CXCL5,801,Protein_Protein
3541,4760,CX3CL1,IL1B,839,Protein_Protein
3541,7154,CX3CL1,TNF,814,Protein_Protein
3541,6545,CX3CL1,CCR10,785,Protein_Protein
3541,8858,CX3CL1,CXCR1,994,Protein_Protein
3541,2987,CX3CL1,CX3CR1,999,Protein_Protein
3541,584,CX3CL1,CXCR6,939,Protein_Protein
3541,5484,CX3CL1,CCR3,930,Protein_Protein
3541,2036,CX3CL1,CD200R1,971,Protein_Protein
3541,877,CX3CL1,CCR2,997,Protein_Protein
3541,8516,CX3CL1,IL1A,829,Protein_Protein
